嬉しい	うれしい
萌え	もえ
醤油	しょうゆ|じょうゆ
殆ど	ほとんど
味噌	みそ
倶楽部	くらぶ
勿論	もちろん
蕎麦	そば|そばむぎ
揃え	そろえ|ぞろえ
叩き	たたき|はたき|ばたき
云う	いう
喧嘩	けんか|げんか
濡れ	ぬれ
其の	その
厨房	ちゅうぼう
甲斐	かい|がい
溢れる	あふれる|こぼれる
伊達	だて
馴染み	なじみ
八幡	はちまん
叩く	たたく|はたく
晒し	さらし|ざらし
石鹸	せっけん
梱包	こんぽう
遥か	はるか
繋がり	つながり
煽り	あおり|あうり
覗き	のぞき
惚れ	ほれ|ぼれ
或いは	あるいわ
此処	ここ
秘訣	ひけつ
貰い	もらい
同梱	どうこん
儲け	もうけ
只今	ただいま
揃い	そろい|ぞろい
繋がる	つながる
麻雀	まーじゃん
海苔	のり
口蹄	こうてい
獅子	しし|じし
品揃え	しなぞろえ
口腔	こうくう|こうこう|くちむろ
賑やか	にぎやか
復讐	ふくしゅう
貰う	もらう|もろう
刺繍	ししゅう
菩薩	ぼさつ
呆れ	あきれ
廻り	めぐり|まわり
天狗	てんぐ
撫で	なで
割烹	かっぽう
惣菜	そうざい
茶碗	ちゃわん|ぢゃわん
歪み	いがみ|ひずみ|ゆがみ
稜線	りょうせん
茄子	なす|なすび
界隈	かいわい
無垢	むく
芭蕉	ばしょう
儲かる	もうかる
貰える	もらえる
賑わい	にぎわい
此の	この
可憐	かれん
青龍	せいりゅう
噛み	かみ
瑞穂	みずほ
ご馳走	ごちそう
神輿	みこし|しんよ
平坦	へいたん
溜め	ため|だめ
喋り	しゃべり
牽引	けんいん
萌える	もえる
蛋白	たんぱく
綴る	つづる
大晦日	おおみそか
些細	ささい
安堵	あんど
掴み	つかみ
林檎	りんご
柚子	ゆず
常磐	ときわ
溜息	ためいき
覗く	のぞく
葡萄	ぶどう|えび
牡丹	ぼたん|ぼた
竣工	しゅんこう
爺さん	じいさん
漏洩	ろうえい|ろうせつ
揃う	そろう
卑怯	ひきょう
銚子	ちょうし
骨董	こっとう
喋る	しゃべる
莫大	ばくだい
叶う	かなう|かのう
出逢い	であい
所謂	しょい|いわゆる
分娩	ぶんべん
祈祷	きとう|ぎとう
衣裳	いしょう
充填	じゅうてん
噛む	かむ
掴む	つかむ
繋ぐ	つなぐ
撒き	まき
椎茸	しいたけ
胡麻	ごま
銀杏	いちょう|ぎんなん
綴り	つづり
捧げる	ささげる
啓蒙	けいもう
猪木	ちょき
混沌	こんとん
或る	ある
煽る	あおる|あうる
隼人	はやと
吾妻	あずま
冴え	さえ
迂回	うかい
於ける	おける
痴呆	ちほう
橋梁	きょうりょう
脆弱	ぜいじゃく
繋ぎ	つなぎ
佃煮	つくだに
怯え	おびえ
金儲け	かねもうけ
剥離	はくり
傭兵	ようへい
阿呆	あほ|あほう|あほん
晒す	さらす
楕円	だえん
勿体	もったい
明智	めいち
其れ	それ
蔓延	まんえん
嘘つき	うそつき
淋しい	さびしい|さみしい
蝦夷	えみし
夜叉	やしゃ
菖蒲	あやめ|しょうぶ
蘇生	そせい
這い	はい
云ふ	ゆふ
編纂	へんさん
黄昏	たそがれ
錆び	さび
幼馴染	おさななじみ
儲ける	もうける
新撰	しんせん
唖然	あぜん
湿疹	しっしん
漕ぎ	こぎ
厩舎	きゅうしゃ
斡旋	あっせん
凱旋	がいせん
挽き	ひき|びき
珊瑚	さんご
怒涛	どとう
牽制	けんせい
纏め	まとめ
揃える	そろえる
叶える	かなえる
淘汰	とうた
辿る	たどる
呆然	ぼうぜん
溜まり	たまり|だまり
同棲	どうせい
清楚	せいそ
其処	そこ
此方	こちら|こなた
螺旋	らせん
微塵	みじん
呑む	のむ
龍神	りゅうじん
閃光	せんこう
或は	あるいわ
松茸	まつたけ
白樺	しらかば
抜擢	ばってき
鵜呑み	うのみ
溜まる	たまる
杜氏	とうじ|とじ
大袈裟	おおげさ
牝馬	ひんば
掻き	かき|がき
舞妓	まいこ|ぶぎ
蓮華	れんげ
伝播	でんぱ|でんぱん
桔梗	ききょう|ぎきょう
釘付け	くぎづけ
鯉のぼり	こいのぼり
玉葱	たまねぎ
勢揃い	せいぞろい
只中	ただなか
天秤	てんびん
煉瓦	れんが
蘇る	よみがえる
投函	とうかん
輪廻	りんえ|りんね
皐月	さつき
瀕死	ひんし
糞スレ	くそすれ
辰巳	たつみ
大腿	だいたい
柴犬	しばいぬ|しばけん
賑わう	にぎわう
埠頭	ふとう
兎に角	とにかく
朱雀	すざく
蒼い	あおい
手帖	てちょう
叢書	そうしょ
位牌	いはい
喧騒	けんそう
伊吹	いぶき
剥奪	はくだつ
禿げ	はげ
片栗粉	かたくりこ
智恵	じえ|ちえ
暖簾	のれん
馴れ合い	なれあい
喰う	くう
鰹節	かつおぶし
晩餐	ばんさん
顛末	てんまつ
御苑	ぎょえん
金箔	きんぱく
尤も	もっとも
胡蝶	こちょう
智慧	じえ|ちえ
発疹	ほっしん|はっしん
朝霞	あさがすみ
お喋り	おしゃべり
琵琶	びわ
廻る	めぐる|まわる
焚き火	たきび
牡馬	おうま|ぼば
凌駕	りょうが
此れ	これ
貫禄	かんろく
砥石	といし
廻し	まわし
諜報	ちょうほう
灼熱	しゃくねつ
狭窄	きょうさく
梯子	はしご|ばしご
蓬莱	ほうらい
末梢	まっしょう
柑橘	かんきつ
播種	はしゅ
呆れる	あきれる
草薙	くさなぎ
甥っ子	おいっこ
石膏	せっこう
鞍馬	あんば
偲ぶ	しのぶ
狛犬	こまいぬ
剃り	そり|すり|ぞり
歪曲	わいきょく
棲む	すむ
雲雀	ひばり
漆喰	しっくい
娼婦	しょうふ
醍醐	だいご
濡れる	ぬれる
